KD_KPP,NAMA_KANTOR,NAMA_KANWIL,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
225,KPP Pratama Batam Selatan,KANTOR WILAYAH DJP KEPULAUAN RIAU,107,13304,75256,15002,14,29,9420269696,101.14000000000001,121.9,61.73,991,2989,404
301,KPP Pratama Palembang Ilir Timur,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,179,8993,56154,12386,14,34,8368499789,101.0,121.96,27.56,1644,1289,337
302,KPP Pratama Baturaja,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,827,4384,39334,20454,7,27,11296585535,108.72,127.87,6.21,2172,827,129
303,KPP Pratama Lubuk Linggau,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,432,3414,35497,24851,6,24,10891425947,109.79,128.55,47.63,929,430,178
304,KPP Pratama Pangkal Pinang,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,316,4047,26017,7528,7,25,8049071516,105.1,115.33,17.78,1347,1323,222
305,KPP Pratama Tanjung Pandan,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,266,3311,22167,9276,7,17,7600436917,104.36000000000001,124.21,24.22,939,547,260
306,KPP Pratama Palembang Seberang Ulu,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,83,2457,39768,7351,7,24,7783234300,101.86,112.79,30.19,719,475,145
307,KPP Pratama Palembang Ilir Barat,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,165,8663,65750,20017,13,31,7037013988,100.73,120.43,30.06,608,428,292
308,KPP Madya Palembang,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,1,1883,231,247,28,41,10147492952,100.0,113.56,26.81,1188,807,263
309,KPP Pratama Lahat,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,758,3902,34599,16172,4,21,9977289554,108.28999999999999,139.56,64.64,586,574,164
311,KPP Pratama Bengkulu Dua,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,1042,5458,56471,24843,14,23,11044765269,120.58,125.74,24.98,884,951,345
312,KPP Pratama Kayu Agung,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,687,3233,26877,21039,7,23,8973121574,102.33000000000001,140.45,25.99,650,455,207
313,KPP Pratama Prabumulih,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,566,5630,40197,26040,14,40,9889765051,114.23,121.64,31.1,1688,1402,295
314,KPP Pratama Sekayu,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,733,4831,28381,7061,13,30,10492355450,106.64,117.69,14.9,1193,518,212
315,KPP Pratama Bangka,KANTOR WILAYAH DJP SUMSEL DAN KEP. BABEL,636,5633,38002,21218,14,27,12640272639,119.04999999999998,121.99,47.64,1027,768,287
321,KPP Pratama Metro,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,1324,8781,75466,44144,14,35,9941266511,120.27000000000001,123.63,10.87,1427,1725,541
322,KPP Pratama Bandar Lampung Satu,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,313,6358,52147,12956,13,33,9242907772,107.46,125.29,33.34,1197,1108,318
323,KPP Pratama Bandar Lampung Dua,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,94,6119,47998,11228,13,33,7725414742,105.53999999999999,129.11,26.62,973,1310,295
325,KPP Pratama Natar,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,2405,6573,66653,35964,14,34,14452670683,110.33999999999999,130.16,16.4,3260,1621,348
326,KPP Pratama Kotabumi,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,1723,8206,51781,50779,7,39,13245857036,114.16999999999999,134.97,19.92,1440,1512,388
327,KPP Pratama Curup,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,631,1920,20715,12268,6,15,7108668485,120.37,122.56,17.21,1191,830,212
328,KPP Pratama Bengkulu Satu,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,907,5374,44533,24199,14,26,8834216801,110.79,128.91,44.42,1378,3185,311
329,KPP Madya Bandar Lampung,KANTOR WILAYAH DJP BENGKULU DAN LAMPUNG,2,1663,218,288,23,37,8627183311,100.0,107.43,7.13,740,561,211
331,KPP Pratama Jambi Telanaipura,KANTOR WILAYAH DJP SUMATERA BARAT DAN JAMBI,465,7470,50321,23149,17,31,10366471820,105.42,114.9,-1.06,1314,976,350
332,KPP Pratama Muara Bungo,KANTOR WILAYAH DJP SUMATERA BARAT DAN JAMBI,434,2771,27455,18916,6,20,8243387801,103.95,110.83,20.8,1038,615,171
333,KPP Pratama Bangko,KANTOR WILAYAH DJP SUMATERA BARAT DAN JAMBI,1031,5086,45811,27816,6,25,9296020930,106.89,109.61,19.64,1080,730,303
334,KPP Pratama Kuala Tungkal,KANTOR WILAYAH DJP SUMATERA BARAT DAN JAMBI,359,3130,20120,13120,5,20,7809029442,110.55,110.45,14.15,648,313,116
335,KPP Pratama Jambi Pelayangan,KANTOR WILAYAH DJP SUMATERA BARAT DAN JAMBI,247,5779,43108,16808,17,30,10429549721,104.47999999999999,114.18,43.18,1664,807,394
401,KPP Pratama Serang Barat,KANTOR WILAYAH DJP BANTEN,337,8925,62148,16391,13,30,10482474335,102.88,158.89,38.81,996,1022,292
402,KPP Pratama Tangerang Barat,KANTOR WILAYAH DJP BANTEN,79,10318,112016,18086,28,39,12885332767,101.32000000000001,125.58,22.15,1999,1806,624
403,KPP Pratama Cibinong,KANTOR WILAYAH DJP JAWA BARAT III,194,16411,73755,16760,21,40,10079720793,106.94,130.71,42.5,2336,2072,386
404,KPP Pratama Bogor,KANTOR WILAYAH DJP JAWA BARAT III,140,10975,88018,16133,21,37,11423318031,105.59,119.38,47.0,1994,1907,609
405,KPP Pratama Sukabumi,KANTOR WILAYAH DJP JAWA BARAT I,608,15369,50959,29841,14,48,11252602734,100.75,113.67,17.76,1365,988,431
406,KPP Pratama Cianjur,KANTOR WILAYAH DJP JAWA BARAT I,778,10407,30174,22297,7,32,9522494411,100.86,121.79,17.09,1458,782,246
407,KPP Pratama Bekasi Utara,KANTOR WILAYAH DJP JAWA BARAT III,106,10590,89729,11080,21,43,13519499335,85.83,126.8,28.88,2429,1977,480
408,KPP Pratama Karawang,KANTOR WILAYAH DJP JAWA BARAT II,453,12127,115290,36752,20,50,11249515959,104.1,144.59,5.8,3901,2094,518
409,KPP Pratama Purwakarta,KANTOR WILAYAH DJP JAWA BARAT I,299,7381,40731,24567,6,37,9118385170,101.75,114.25,11.75,1854,1298,267
411,KPP Pratama Serpong,KANTOR WILAYAH DJP BANTEN,53,11013,41366,6123,21,37,11449655894,101.01,137.75,44.73,1665,1447,545
412,KPP Pratama Depok Cimanggis,KANTOR WILAYAH DJP JAWA BARAT III,57,8646,76148,7125,14,39,9323049489,102.13000000000001,125.54,60.49,2388,2322,526
413,KPP Pratama Cikarang Selatan,KANTOR WILAYAH DJP JAWA BARAT II,121,12945,82651,15387,20,50,12001153217,100.46,125.92,35.25,2615,2270,812
414,KPP Pratama Cikarang Utara,KANTOR WILAYAH DJP JAWA BARAT II,103,6883,57434,13090,15,37,9769398063,100.52000000000001,120.25,22.3,2172,2487,420
415,KPP Madya Tangerang,KANTOR WILAYAH DJP BANTEN,1,1655,166,63,30,40,19119564670,100.0,107.27,14.93,1029,920,292
416,KPP Pratama Tangerang Timur,KANTOR WILAYAH DJP BANTEN,104,16049,101633,29953,21,44,11900670124,100.52000000000001,126.16,40.92,3517,2103,578
417,KPP Pratama Cilegon,KANTOR WILAYAH DJP BANTEN,146,6745,31695,6147,14,37,9559264169,103.16000000000001,119.03,23.33,1455,1685,611
418,KPP Pratama Kosambi,KANTOR WILAYAH DJP BANTEN,213,9055,90727,20911,21,43,11512820052,108.63000000000001,132.15,37.22,3374,2285,478
419,KPP Pratama Pandeglang,KANTOR WILAYAH DJP BANTEN,884,10843,84524,24487,7,44,9494318178,101.03,131.01,3.81,1046,919,214
421,KPP Pratama Cimahi,KANTOR WILAYAH DJP JAWA BARAT I,427,11952,116466,29655,14,43,11226483146,100.66,116.14,38.97,3242,1564,581
422,KPP Pratama Bandung Tegallega,KANTOR WILAYAH DJP JAWA BARAT I,164,13363,75207,29587,21,48,10937652509,101.22,115.09,69.31,2532,2194,563
423,KPP Pratama Bandung Cibeunying,KANTOR WILAYAH DJP JAWA BARAT I,205,9004,48952,16069,20,34,9309719836,103.45,114.47,37.92,1351,1686,424
425,KPP Pratama Tasikmalaya,KANTOR WILAYAH DJP JAWA BARAT I,760,19464,69709,44321,7,42,10188992744,100.52000000000001,120.96,23.81,1392,1088,372
426,KPP Pratama Cirebon Satu,KANTOR WILAYAH DJP JAWA BARAT II,111,4310,24483,5722,12,33,10455902015,100.96000000000001,127.19,30.58,1295,1032,379
427,KPP Pratama Bekasi Barat,KANTOR WILAYAH DJP JAWA BARAT III,124,11676,79485,9691,14,38,10450182107,99.6,129.32,40.81,2152,2114,440
428,KPP Pratama Bandung Bojonagara,KANTOR WILAYAH DJP JAWA BARAT I,114,6609,34534,10487,14,36,9969198958,101.05999999999999,117.14,107.95,1491,1690,376
429,KPP Pratama Bandung Cicadas,KANTOR WILAYAH DJP JAWA BARAT I,114,11482,53823,16693,14,33,10451412480,93.17999999999999,130.8,37.14,1531,1317,421
431,KPP Madya Bekasi,KANTOR WILAYAH DJP JAWA BARAT II,1,1650,182,36,35,33,8359495151,100.0,122.76,27.89,817,513,392
434,KPP Pratama Ciawi,KANTOR WILAYAH DJP JAWA BARAT III,296,11157,102640,29586,14,35,9396726894,111.53999999999999,117.63,5.99,1417,1328,331
435,KPP Pratama Cibitung,KANTOR WILAYAH DJP JAWA BARAT II,254,11797,123848,18822,14,41,14259430217,103.02,117.04,48.96,3064,2244,454
436,KPP Pratama Cileungsi,KANTOR WILAYAH DJP JAWA BARAT III,97,6046,55696,13989,10,36,9701832149,104.84,124.51,13.21,1272,1011,259
437,KPP Pratama Indramayu,KANTOR WILAYAH DJP JAWA BARAT II,778,7535,42987,14532,9,32,8795809951,103.03,156.41,55.3,1440,1230,243
438,KPP Pratama Kuningan,KANTOR WILAYAH DJP JAWA BARAT II,870,9249,79834,35549,7,44,12188085210,102.77000000000001,141.36,11.86,1781,916,282
439,KPP Pratama Subang,KANTOR WILAYAH DJP JAWA BARAT II,407,3128,24014,3474,7,27,8472033754,120.98,133.01,4.49,790,590,193
441,KPP Madya Bandung,KANTOR WILAYAH DJP JAWA BARAT I,1,2043,176,149,28,32,9590131014,100.0,109.01,21.35,898,764,328
442,KPP Pratama Ciamis,KANTOR WILAYAH DJP JAWA BARAT I,700,10572,53705,20710,7,40,10997700773,103.49,136.15,7.94,2272,1604,321
443,KPP Pratama Garut,KANTOR WILAYAH DJP JAWA BARAT I,548,14775,106802,39985,7,42,10620876213,108.64,120.79,12.52,2691,2640,307
444,KPP Pratama Majalaya,KANTOR WILAYAH DJP JAWA BARAT I,259,9273,55029,18977,7,26,9983049954,101.12,116.9,41.63,808,854,281
445,KPP Pratama Soreang,KANTOR WILAYAH DJP JAWA BARAT I,277,8495,72330,43446,14,38,9674315741,100.66999999999999,117.26,32.43,1485,1798,530
446,KPP Pratama Sumedang,KANTOR WILAYAH DJP JAWA BARAT I,396,5033,41766,15843,7,29,15030092490,108.38000000000001,141.19,47.06,1008,786,251
447,KPP Pratama Pondok Gede,KANTOR WILAYAH DJP JAWA BARAT III,44,11539,90719,16401,10,40,16651377821,100.6,130.86,22.11,3109,2192,327
448,KPP Pratama Depok Sawangan,KANTOR WILAYAH DJP JAWA BARAT III,60,9701,68752,14473,10,37,14782173442,101.02,131.45,42.74,1885,1409,503
449,KPP Madya Bogor,KANTOR WILAYAH DJP JAWA BARAT III,0,2206,147,83,30,36,9603420023,98.74000000000001,120.22,17.21,884,928,363
451,KPP Pratama Tigaraksa,KANTOR WILAYAH DJP BANTEN,289,22320,114624,13912,28,44,23270136231,90.82000000000001,127.84,33.01,2204,1502,801
453,KPP Pratama Pondok Aren,KANTOR WILAYAH DJP BANTEN,43,12586,91157,12048,21,43,11326194859,116.66000000000001,137.05,21.11,1746,1954,779
454,KPP Pratama Serang Timur,KANTOR WILAYAH DJP BANTEN,420,6896,74718,15578,14,34,9185538992,109.22,120.32,43.86,778,995,292
455,KPP Pratama Cirebon Dua,KANTOR WILAYAH DJP JAWA BARAT II,595,7196,62169,16108,14,42,16985347375,108.62,134.42,30.45,1491,2196,410
456,KPP Madya Dua Tangerang,KANTOR WILAYAH DJP BANTEN,2,1926,106,31,30,40,11960751232,99.92999999999999,107.0,22.43,1199,1217,334
457,KPP Madya Karawang,KANTOR WILAYAH DJP JAWA BARAT II,2,1680,104,91,35,32,10995522027,100.0,114.33,53.2,733,638,521
458,KPP Madya Kota Bekasi,KANTOR WILAYAH DJP JAWA BARAT III,2,2007,102,46,30,36,16077128059,99.69,106.06,20.4,1229,875,210
459,KPP Madya Dua Bandung,KANTOR WILAYAH DJP JAWA BARAT I,2,2247,107,69,28,33,21607567876,100.0,110.78,26.11,1756,1112,319
501,KPP Pratama Tegal,KANTOR WILAYAH DJP JAWA TENGAH I,970,14210,98893,48189,14,44,11879115522,102.12,114.8,24.98,2690,3813,622
502,KPP Pratama Pekalongan,KANTOR WILAYAH DJP JAWA TENGAH I,795,8344,44654,27906,14,36,10385371786,102.86,116.67,30.93,2751,2383,405
503,KPP Pratama Semarang Barat,KANTOR WILAYAH DJP JAWA TENGAH I,91,7682,31890,7865,17,43,9509090580,102.47,128.23,47.68,1912,1387,515
504,KPP Pratama Semarang Timur,KANTOR WILAYAH DJP JAWA TENGAH I,29,2862,11998,5703,17,28,13416495835,101.42999999999999,103.36,0.13,1248,827,325
505,KPP Pratama Salatiga,KANTOR WILAYAH DJP JAWA TENGAH I,452,6586,50058,14957,14,33,10025713976,100.93,119.26,24.0,1370,1881,590
506,KPP Pratama Kudus,KANTOR WILAYAH DJP JAWA TENGAH I,249,4701,35453,11569,9,37,9704447256,100.94000000000001,136.25,47.15,1878,2716,570
507,KPP Pratama Pati,KANTOR WILAYAH DJP JAWA TENGAH I,1029,8988,42316,36670,10,37,11449885988,102.84,112.45,22.12,1442,2286,472
508,KPP Pratama Semarang Selatan,KANTOR WILAYAH DJP JAWA TENGAH I,60,1702,5641,1737,7,20,6144554066,102.76,116.63,28.96,692,616,165
509,KPP Pratama Semarang Tengah,KANTOR WILAYAH DJP JAWA TENGAH I,78,2698,4276,3719,14,23,6853075979,107.60000000000001,118.8,24.96,594,637,250
511,KPP Madya Semarang,KANTOR WILAYAH DJP JAWA TENGAH I,1,1522,127,125,30,40,11166180301,100.0,106.12,-4.91,921,703,238
513,KPP Pratama Batang,KANTOR WILAYAH DJP JAWA TENGAH I,769,7621,57771,23791,14,34,11129086876,102.0,107.86,10.98,1169,1602,527
514,KPP Pratama Blora,KANTOR WILAYAH DJP JAWA TENGAH I,980,5565,26442,12060,7,36,10358122453,104.4,120.45,11.24,1821,1661,336
515,KPP Pratama Demak,KANTOR WILAYAH DJP JAWA TENGAH I,413,4462,18293,14188,7,21,7718647104,120.61,117.06,33.13,686,708,178
516,KPP Pratama Jepara,KANTOR WILAYAH DJP JAWA TENGAH I,369,4985,20082,3927,7,23,8296224897,102.69999999999999,110.25,13.51,1384,1952,506
517,KPP Pratama Semarang Candisari,KANTOR WILAYAH DJP JAWA TENGAH I,78,6940,37068,5391,14,40,9750207919,100.53,121.7,39.39,1513,1572,490
518,KPP Pratama Semarang Gayamsari,KANTOR WILAYAH DJP JAWA TENGAH I,25,5539,20725,6578,7,30,7344449479,103.79,123.81,47.72,1543,1908,443
519,KPP Madya Dua Semarang,KANTOR WILAYAH DJP JAWA TENGAH I,2,1854,161,95,28,40,10227317750,100.0,110.88,14.84,644,542,270
521,KPP Pratama Purwokerto,KANTOR WILAYAH DJP JAWA TENGAH II,462,7747,58627,21713,14,31,9814537448,101.78,119.37,34.18,1554,1419,541
522,KPP Pratama Cilacap,KANTOR WILAYAH DJP JAWA TENGAH II,544,8271,47417,25082,14,31,10851481966,114.22000000000001,114.2,30.38,916,1228,637
523,KPP Pratama Kebumen,KANTOR WILAYAH DJP JAWA TENGAH II,1231,8890,58639,24343,7,45,9227591358,103.88,124.92,25.19,1542,1744,493
524,KPP Pratama Magelang,KANTOR WILAYAH DJP JAWA TENGAH II,702,6097,57358,15723,8,29,10975204753,102.42999999999999,125.63,37.02,836,1103,519
525,KPP Pratama Klaten,KANTOR WILAYAH DJP JAWA TENGAH II,689,4617,51106,8537,7,27,9164840744,123.49000000000001,120.97,22.27,1788,2129,310
526,KPP Pratama Surakarta,KANTOR WILAYAH DJP JAWA TENGAH II,229,6454,43534,16336,14,36,10441584196,102.49,116.32,73.11,1500,2026,556
527,KPP Pratama Boyolali,KANTOR WILAYAH DJP JAWA TENGAH II,493,5233,33786,19771,7,25,7810101399,115.6,126.42,13.47,1105,858,296
528,KPP Pratama Karanganyar,KANTOR WILAYAH DJP JAWA TENGAH II,613,8867,66994,37621,14,39,11365062352,101.13000000000001,125.85,16.65,1545,2800,552
529,KPP Pratama Purbalingga,KANTOR WILAYAH DJP JAWA TENGAH II,871,7272,47461,20778,7,32,9944900693,108.83,132.27,21.07,1252,1412,509
532,KPP Pratama Sukoharjo,KANTOR WILAYAH DJP JAWA TENGAH II,631,11912,78144,24756,14,39,12318812010,102.76,127.85,34.82,1562,1530,388
533,KPP Pratama Temanggung,KANTOR WILAYAH DJP JAWA TENGAH II,1298,7801,53065,28098,7,35,10051031550,106.15,138.36,28.22,1597,1487,386
534,KPP Madya Surakarta,KANTOR WILAYAH DJP JAWA TENGAH II,2,2084,145,207,28,40,14555657247,100.0,108.96,5.59,758,529,186
541,KPP Pratama Yogyakarta,KANTOR WILAYAH DJP D.I. YOGYAKARTA,266,7743,40553,13895,14,36,9733145411,102.64999999999999,108.48,13.66,1279,2494,584
542,KPP Pratama Sleman,KANTOR WILAYAH DJP D.I. YOGYAKARTA,272,14005,99218,27937,14,38,10638247862,101.25,122.26,30.25,1933,2984,538
543,KPP Pratama Bantul,KANTOR WILAYAH DJP D.I. YOGYAKARTA,272,8485,56356,25974,7,30,8836647842,103.08999999999999,110.15,13.04,1333,2139,347
544,KPP Pratama Wates,KANTOR WILAYAH DJP D.I. YOGYAKARTA,169,2910,28653,7694,7,23,7298556037,100.95,111.72,-15.91,1360,1133,139
545,KPP Pratama Wonosari,KANTOR WILAYAH DJP D.I. YOGYAKARTA,455,4101,32095,14956,7,18,6890897822,101.05999999999999,120.97,27.23,1069,861,177
601,KPP Pratama Bojonegoro,KANTOR WILAYAH DJP JAWA TIMUR II,610,7946,38984,20435,7,31,7784020951,101.03999999999999,151.59,23.64,2223,1261,411
602,KPP Pratama Mojokerto,KANTOR WILAYAH DJP JAWA TIMUR II,528,8218,65054,17881,10,29,10299029641,101.17,131.58,53.52,1622,1426,520
603,KPP Pratama Sidoarjo Barat,KANTOR WILAYAH DJP JAWA TIMUR II,232,8017,63323,15206,14,35,9383694827,101.47999999999999,122.15,27.06,3140,1840,393
604,KPP Pratama Surabaya Sukomanunggal,KANTOR WILAYAH DJP JAWA TIMUR I,29,8829,41070,14919,14,36,9001287626,102.33000000000001,119.88,92.89,2425,2014,541
605,KPP Pratama Surabaya Krembangan,KANTOR WILAYAH DJP JAWA TIMUR I,64,2166,9525,1880,14,22,6109727801,101.29999999999998,113.83,26.99,803,628,192
606,KPP Pratama Surabaya Gubeng,KANTOR WILAYAH DJP JAWA TIMUR I,62,7583,31755,9307,14,30,8414796641,101.4,119.73,52.22,2217,963,542
